query,intent,city
"Can you find tourist spots in Tadepalligudem?",tourist_spots,Tadepalligudem
"Where are the tourist attractions in Tadepalligudem?",tourist_spots,Tadepalligudem
"Show me tourist places to visit in Tadepalligudem.",tourist_spots,Tadepalligudem
"List the must-visit tourist spots in Tadepalligudem.",tourist_spots,Tadepalligudem
"Find popular tourist spots in Tadpatri.",tourist_spots,Tadpatri
"Show me the top tourist attractions in Tadpatri.",tourist_spots,Tadpatri
"Where can I visit in Tadpatri?",tourist_spots,Tadpatri
"List famous tourist destinations in Tadpatri.",tourist_spots,Tadpatri
"Can you find tourist spots in Tanuku?",tourist_spots,Tanuku
"Show me tourist attractions in Tanuku.",tourist_spots,Tanuku
"Where are the tourist places in Tanuku?",tourist_spots,Tanuku
"List top places to visit in Tanuku.",tourist_spots,Tanuku
"Find tourist places in Tenali.",tourist_spots,Tenali
"Show me popular tourist spots in Tenali.",tourist_spots,Tenali
"Where can I visit in Tenali?",tourist_spots,Tenali
"List top tourist destinations in Tenali.",tourist_spots,Tenali
"Can you find tourist spots in Tirupati?",tourist_spots,Tirupati
"Show me the tourist attractions in Tirupati.",tourist_spots,Tirupati
"List the famous tourist places in Tirupati.",tourist_spots,Tirupati
"Where are the must-visit spots in Tirupati?",tourist_spots,Tirupati
"Where can I visit in Uravakonda?",tourist_spots,Uravakonda
"Find the best tourist attractions in Uravakonda.",tourist_spots,Uravakonda
"Show me top places to visit in Uravakonda.",tourist_spots,Uravakonda
"List popular tourist spots in Uravakonda.",tourist_spots,Uravakonda
"Can you show me tourist spots in Vijayawada?",tourist_spots,Vijayawada
"Where can I visit in Vijayawada?",tourist_spots,Vijayawada
"List tourist attractions in Vijayawada.",tourist_spots,Vijayawada
"Show me the must-see places in Vijayawada.",tourist_spots,Vijayawada
"Find tourist attractions in Vinukonda.",tourist_spots,Vinukonda
"List famous tourist spots in Vinukonda.",tourist_spots,Vinukonda
"Where can I visit in Vinukonda?",tourist_spots,Vinukonda
"Show me top places in Vinukonda.",tourist_spots,Vinukonda
"Can you find tourist spots in Visakhapatnam?",tourist_spots,Visakhapatnam
"Where are the top tourist attractions in Visakhapatnam?",tourist_spots,Visakhapatnam
"List the must-see places in Visakhapatnam.",tourist_spots,Visakhapatnam
"Show me tourist places in Visakhapatnam.",tourist_spots,Visakhapatnam
"Where can I visit in Vizianagaram?",tourist_spots,Vizianagaram
"Find famous tourist spots in Vizianagaram.",tourist_spots,Vizianagaram
"List popular tourist attractions in Vizianagaram.",tourist_spots,Vizianagaram
"Show me top places to visit in Vizianagaram.",tourist_spots,Vizianagaram
"Can you find tourist spots in Kovvur?",tourist_spots,Kovvur
"Show me famous tourist attractions in Kovvur.",tourist_spots,Kovvur
"Where can I visit in Kovvur?",tourist_spots,Kovvur
