query,intent,city
"Can you show me hotels in Tadepalligudem?",hotel,Tadepalligudem
"Find me a hotel in Tadepalligudem.",hotel,Tadepalligudem
"Where are the best hotels in Tadepalligudem?",hotel,Tadepalligudem
"List top-rated hotels in Tadepalligudem.",hotel,Tadepalligudem
"Can you show me hotels in Tadipatri?",hotel,Tadpatri
"Find a good hotel in Tadipatri.",hotel,Tadpatri
"Where can I stay in Tadipatri?",hotel,Tadpatri
"List the best hotels in Tadipatri.",hotel,Tadpatri
"Where can I find hotels in Tanuku?",hotel,Tanuku
"Show me hotels in Tanuku.",hotel,Tanuku
"List good hotels in Tanuku.",hotel,Tanuku
"Are there any recommended hotels in Tanuku?",hotel,Tanuku
"Can you find a hotel in Tenali?",hotel,Tenali
"Where can I stay in Tenali?",hotel,Tenali
"List top hotels in Tenali.",hotel,Tenali
"Find me a hotel in Tenali.",hotel,Tenali
"Show me good hotels in Tirupati.",hotel,Tirupati
"Find hotels in Tirupati.",hotel,Tirupati
"Where can I stay in Tirupati?",hotel,Tirupati
"List top-rated hotels in Tirupati.",hotel,Tirupati
"Find me hotels in Uravakonda.",hotel,Uravakonda
"Show me hotels in Uravakonda.",hotel,Uravakonda
"Are there any good hotels in Uravakonda?",hotel,Uravakonda
"List the best hotels in Uravakonda.",hotel,Uravakonda
"Where can I find hotels in Vijayawada?",hotel,Vijayawada
"Show me hotels in Vijayawada.",hotel,Vijayawada
"List top hotels in Vijayawada.",hotel,Vijayawada
"Find me a hotel in Vijayawada.",hotel,Vijayawada
"Can you show me hotels in Vinukonda?",hotel,Vinukonda
"Where can I stay in Vinukonda?",hotel,Vinukonda
"Find a hotel in Vinukonda.",hotel,Vinukonda
"List good hotels in Vinukonda.",hotel,Vinukonda
"Show me hotels in Visakhapatnam.",hotel,Visakhapatnam
"Where can I find hotels in Visakhapatnam?",hotel,Visakhapatnam
"List top-rated hotels in Visakhapatnam.",hotel,Visakhapatnam
"Are there any good hotels in Visakhapatnam?",hotel,Visakhapatnam
"Can you find a hotel in Vizianagaram?",hotel,Vizianagaram
"List good hotels in Vizianagaram.",hotel,Vizianagaram
"Where can I stay in Vizianagaram?",hotel,Vizianagaram
"Show me top hotels in Vizianagaram.",hotel,Vizianagaram
"Find me hotels in Kovvur.",hotel,Kovvur
"Are there any hotels in Kovvur?",hotel,Kovvur
"Show me hotels in Kovvur.",hotel,Kovvur
"Where are the best hotels in Kovvur?",hotel,Kovvur
"Can you show me hotels in Kurnool?",hotel,Kurnool
"List the best hotels in Kurnool.",hotel,Kurnool
"Where can I stay in Kurnool?",hotel,Kurnool
"Find good hotels in Kurnool.",hotel,Kurnool
"Show me hotels in Macherla.",hotel,Macherla
"Where can I find hotels in Macherla?",hotel,Macherla
"Are there any good hotels in Macherla?",hotel,Macherla
"Find a hotel in Macherla.",hotel,Macherla
"Can you list hotels in Machilipatnam?",hotel,Machilipatnam
"Where can I stay in Machilipatnam?",hotel,Machilipatnam
"Show me good hotels in Machilipatnam.",hotel,Machilipatnam
"Find hotels in Machilipatnam.",hotel,Machilipatnam
"Can you show me hotels in Madanapalle?",hotel,Madanapalle
"Where can I stay in Madanapalle?",hotel,Madanapalle
"Find a hotel in Madanapalle.",hotel,Madanapalle
"List top hotels in Madanapalle.",hotel,Madanapalle
"Where can I find hotels in Mandapeta?",hotel,Mandapeta
"Show me hotels in Mandapeta.",hotel,Mandapeta
"List the best hotels in Mandapeta.",hotel,Mandapeta
"Are there any hotels in Mandapeta?",hotel,Mandapeta
