query,intent,city
"Where can I find churches in Tadepalligudem?",churches,Tadepalligudem
"List churches in Tadepalligudem.",churches,Tadepalligudem
"Show me places of worship in Tadepalligudem.",churches,Tadepalligudem
"Find religious centers in Tadepalligudem.",churches,Tadepalligudem
"Where are the churches in Tadpatri?",churches,Tadpatri
"List churches in Tadpatri.",churches,Tadpatri
"Show me places of worship in Tadpatri.",churches,Tadpatri
"Find religious centers in Tadpatri.",churches,Tadpatri
"Where can I find churches in Tanuku?",churches,Tanuku
"List churches in Tanuku.",churches,Tanuku
"Show me places of worship in Tanuku.",churches,Tanuku
"Find religious centers in Tanuku.",churches,Tanuku
"Where are the churches in Tenali?",churches,Tenali
"List churches in Tenali.",churches,Tenali
"Show me places of worship in Tenali.",churches,Tenali
"Find religious centers in Tenali.",churches,Tenali
"Where can I find churches in Tirupati?",churches,Tirupati
"List churches in Tirupati.",churches,Tirupati
"Show me places of worship in Tirupati.",churches,Tirupati
"Find religious centers in Tirupati.",churches,Tirupati
"Where are the churches in Uravakonda?",churches,Uravakonda
"List churches in Uravakonda.",churches,Uravakonda
"Show me places of worship in Uravakonda.",churches,Uravakonda
"Find religious centers in Uravakonda.",churches,Uravakonda
"Where can I find churches in Vijayawada?",churches,Vijayawada
"List churches in Vijayawada.",churches,Vijayawada
"Show me places of worship in Vijayawada.",churches,Vijayawada
"Find religious centers in Vijayawada.",churches,Vijayawada
"Where are the churches in Vinukonda?",churches,Vinukonda
"List churches in Vinukonda.",churches,Vinukonda
"Show me places of worship in Vinukonda.",churches,Vinukonda
"Find religious centers in Vinukonda.",churches,Vinukonda
"Where can I find churches in Visakhapatnam?",churches,Visakhapatnam
"List churches in Visakhapatnam.",churches,Visakhapatnam
"Show me places of worship in Visakhapatnam.",churches,Visakhapatnam
"Find religious centers in Visakhapatnam.",churches,Visakhapatnam
"Where are the churches in Vizianagaram?",churches,Vizianagaram
"List churches in Vizianagaram.",churches,Vizianagaram
"Show me places of worship in Vizianagaram.",churches,Vizianagaram
"Find religious centers in Vizianagaram.",churches,Vizianagaram
"Where can I find churches in Kovvur?",churches,Kovvur
"List churches in Kovvur.",churches,Kovvur
"Show me places of worship in Kovvur.",churches,Kovvur
"Find religious centers in Kovvur.",churches,Kovvur
"Where are the churches in Kurnool?",churches,Kurnool
"List churches in Kurnool.",churches,Kurnool
"Show me places of worship in Kurnool.",churches,Kurnool
"Find religious centers in Kurnool.",churches,Kurnool
"Where can I find churches in Macherla?",churches,Macherla
"List churches in Macherla.",churches,Macherla
"Show me places of worship in Macherla.",churches,Macherla
"Find religious centers in Macherla.",churches,Macherla
"Where are the churches in Machilipatnam?",churches,Machilipatnam
"List churches in Machilipatnam.",churches,Machilipatnam
"Show me places of worship in Machilipatnam.",churches,Machilipatnam
"Find religious centers in Machilipatnam.",churches,Machilipatnam
"Where can I find churches in Madanapalle?",churches,Madanapalle
"List churches in Madanapalle.",churches,Madanapalle
"Show me places of worship in Madanapalle.",churches,Madanapalle
"Find religious centers in Madanapalle.",churches,Madanapalle
"Where are the churches in Mandapeta?",churches,Mandapeta
"List churches in Mandapeta.",churches,Mandapeta
"Show me places of worship in Mandapeta.",churches,Mandapeta
"Find religious centers in Mandapeta.",churches,Mandapeta
"Where can I find churches in Mangalagiri?",churches,Mangalagiri
"List churches in Mangalagiri.",churches,Mangalagiri
"Show me places of worship in Mangalagiri.",churches,Mangalagiri
"Find religious centers in Mangalagiri.",churches,Mangalagiri
"Where are the churches in Markapur?",churches,Markapur
"List churches in Markapur.",churches,Markapur
"Show me places of worship in Markapur.",churches,Markapur
"Find religious centers in Markapur.",churches,Markapur
"Where can I find churches in Nagari?",churches,Nagari
"List churches in Nagari.",churches,Nagari
"Show me places of worship in Nagari.",churches,Nagari
"Find religious centers in Nagari.",churches,Nagari
"Where are the churches in Nandyala?",churches,Nandyala
"List churches in Nandyala.",churches,Nandyala
"Show me places of worship in Nandyala.",churches,Nandyala
"Find religious centers in Nandyala.",churches,Nandyala
"Where can I find churches in Narasaraopet?",churches,Narasaraopet
"List churches in Narasaraopet.",churches,Narasaraopet
"Show me places of worship in Narasaraopet.",churches,Narasaraopet
"Find religious centers in Narasaraopet.",churches,Narasaraopet
"Where are the churches in Narsipatnam?",churches,Narsipatnam
"List churches in Narsipatnam.",churches,Narsipatnam
"Show me places of worship in Narsipatnam.",churches,Narsipatnam
"Find religious centers in Narsipatnam.",churches,Narsipatnam
"Where can I find churches in Nellore?",churches,Nellore
"List churches in Nellore.",churches,Nellore
"Show me places of worship in Nellore.",churches,Nellore
"Find religious centers in Nellore.",churches,Nellore
"Where are the churches in Nidadavole?",churches,Nidadavole
"List churches in Nidadavole.",churches,Nidadavole
"Show me places of worship in Nidadavole.",churches,Nidadavole
"Find religious centers in Nidadavole.",churches,Nidadavole
"Where can I find churches in Nuzvid?",churches,Nuzvid
"List churches in Nuzvid.",churches,Nuzvid
"Show me places of worship in Nuzvid.",churches,Nuzvid
"Find religious centers in Nuzvid.",churches,Nuzvid
"Where are the churches in Ongole?",churches,Ongole
"List churches in Ongole.",churches,Ongole
"Show me places of worship in Ongole.",churches,Ongole
"Find religious centers in Ongole.",churches,Ongole
"Where can I find churches in Palakollu?",churches,Palakollu
"List churches in Palakollu.",churches,Palakollu
"Show me places of worship in Palakollu.",churches,Palakollu
"Find religious centers in Palakollu.",churches,Palakollu
"Where are the churches in Palasa?",churches,Palasa
"List churches in Palasa.",churches,Palasa
"Show me places of worship in Palasa.",churches,Palasa
"Find religious centers in Palasa.",churches,Palasa
"Where can I find churches in Peddapuram?",churches,Peddapuram
"List churches in Peddapuram.",churches,Peddapuram
"Show me places of worship in Peddapuram.",churches,Peddapuram
"Find religious centers in Peddapuram.",churches,Peddapuram
"Where are the churches in Pithapuram?",churches,Pithapuram
"List churches in Pithapuram.",churches,Pithapuram
"Show me places of worship in Pithapuram.",churches,Pithapuram
"Find religious centers in Pithapuram.",churches,Pithapuram
"Where can I find churches in Proddatur?",churches,Proddatur
"List churches in Proddatur.",churches,Proddatur
"Show me places of worship in Proddatur.",churches,Proddatur
"Find religious centers in Proddatur.",churches,Proddatur
"Where are the churches in Punganur?",churches,Punganur
"List churches in Punganur.",churches,Punganur
"Show me places of worship in Punganur.",churches,Punganur
"Find religious centers in Punganur.",churches,Punganur
"Where can I find churches in Puttur?",churches,Puttur
"List churches in Puttur.",churches,Puttur
"Show me places of worship in Puttur.",churches,Puttur
"Find religious centers in Puttur.",churches,Puttur
"Where are the churches in Rajahmundry?",churches,Rajahmundry
"List churches in Rajahmundry.",churches,Rajahmundry
"Show me places of worship in Rajahmundry.",churches,Rajahmundry
"Find religious centers in Rajahmundry.",churches,Rajahmundry
"Where can I find churches in Rajampet?",churches,Rajampet
"List churches in Rajampet.",churches,Rajampet
"Show me places of worship in Rajampet.",churches,Rajampet
"Find religious centers in Rajampet.",churches,Rajampet
"Where are the churches in Ramachandrapuram?",churches,Ramachandrapuram
"List churches in Ramachandrapuram.",churches,Ramachandrapuram
"Show me places of worship in Ramachandrapuram.",churches,Ramachandrapuram
"Find religious centers in Ramachandrapuram.",churches,Ramachandrapuram
"Where can I find churches in Rayachoti?",churches,Rayachoti
"List churches in Rayachoti.",churches,Rayachoti
"Show me places of worship in Rayachoti.",churches,Rayachoti
"Find religious centers in Rayachoti.",churches,Rayachoti
"Where are the churches in Repalle?",churches,Repalle
"List churches in Repalle.",churches,Repalle
"Show me places of worship in Repalle.",churches,Repalle
"Find religious centers in Repalle.",churches,Repalle
"Where can I find churches in Salur?",churches,Salur
"List churches in Salur.",churches,Salur
"Show me places of worship in Salur.",churches,Salur
"Find religious centers in Salur.",churches,Salur
"Where are the churches in Sattenapalle?",churches,Sattenapalle
"List churches in Sattenapalle.",churches,Sattenapalle
"Show me places of worship in Sattenapalle.",churches,Sattenapalle
"Find religious centers in Sattenapalle.",churches,Sattenapalle
"Where can I find churches in Srikakulam?",churches,Srikakulam
"List churches in Srikakulam.",churches,Srikakulam
"Show me places of worship in Srikakulam.",churches,Srikakulam
"Find religious centers in Srikakulam.",churches,Srikakulam
"Where are the churches in Adoni?",churches,Adoni
"List churches in Adoni.",churches,Adoni
"Show me places of worship in Adoni.",churches,Adoni
"Find religious centers in Adoni.",churches,Adoni
"Where can I find churches in Amalapuram?",churches,Amalapuram
"List churches in Amalapuram.",churches,Amalapuram
"Show me places of worship in Amalapuram.",churches,Amalapuram
"Find religious centers in Amalapuram.",churches,Amalapuram
"Where are the churches in Anakapalle?",churches,Anakapalle
"List churches in Anakapalle.",churches,Anakapalle
"Show me places of worship in Anakapalle.",churches,Anakapalle
"Find religious centers in Anakapalle.",churches,Anakapalle
"Where can I find churches in Anantapur?",churches,Anantapur
"List churches in Anantapur.",churches,Anantapur
"Show me places of worship in Anantapur.",churches,Anantapur
"Find religious centers in Anantapur.",churches,Anantapur
"Where are the churches in Badvel?",churches,Badvel
"List churches in Badvel.",churches,Badvel
"Show me places of worship in Badvel.",churches,Badvel
"Find religious centers in Badvel.",churches,Badvel
"Where can I find churches in Bobbili?",churches,Bobbili
"List churches in Bobbili.",churches,Bobbili
"Show me places of worship in Bobbili.",churches,Bobbili
"Find religious centers in Bobbili.",churches,Bobbili
"Where are the churches in Bapatla?",churches,Bapatla
"List churches in Bapatla.",churches,Bapatla
"Show me places of worship in Bapatla.",churches,Bapatla
"Find religious centers in Bapatla.",churches,Bapatla
"Where can I find churches in Bheemunipatnam?",churches,Bheemunipatnam
"List churches in Bheemunipatnam.",churches,Bheemunipatnam
"Show me places of worship in Bheemunipatnam.",churches,Bheemunipatnam
"Find religious centers in Bheemunipatnam.",churches,Bheemunipatnam
"Where are the churches in Bhimavaram?",churches,Bhimavaram
"List churches in Bhimavaram.",churches,Bhimavaram
"Show me places of worship in Bhimavaram.",churches,Bhimavaram
"Find religious centers in Bhimavaram.",churches,Bhimavaram
"Where can I find churches in Cherlopalle?",churches,Cherlopalle
"List churches in Cherlopalle.",churches,Cherlopalle
"Show me places of worship in Cherlopalle.",churches,Cherlopalle
"Find religious centers in Cherlopalle.",churches,Cherlopalle
"Where are the churches in Chintapalle?",churches,Chintapalle
"List churches in Chintapalle.",churches,Chintapalle
"Show me places of worship in Chintapalle.",churches,Chintapalle
"Find religious centers in Chintapalle.",churches,Chintapalle
"Where can I find churches in Chirala?",churches,Chirala
"List churches in Chirala.",churches,Chirala
"Show me places of worship in Chirala.",churches,Chirala
"Find religious centers in Chirala.",churches,Chirala
"Where are the churches in Chittoor?",churches,Chittoor
"List churches in Chittoor.",churches,Chittoor
"Show me places of worship in Chittoor.",churches,Chittoor
"Find religious centers in Chittoor.",churches,Chittoor
"Where can I find churches in Chodavaram?",churches,Chodavaram
"List churches in Chodavaram.",churches,Chodavaram
"Show me places of worship in Chodavaram.",churches,Chodavaram
"Find religious centers in Chodavaram.",churches,Chodavaram
"Where are the churches in Cumbum?",churches,Cumbum
"List churches in Cumbum.",churches,Cumbum
"Show me places of worship in Cumbum.",churches,Cumbum
"Find religious centers in Cumbum.",churches,Cumbum
"Where can I find churches in Dhone?",churches,Dhone
"List churches in Dhone.",churches,Dhone
"Show me places of worship in Dhone.",churches,Dhone
"Find religious centers in Dhone.",churches,Dhone
"Where are the churches in Eluru?",churches,Eluru
"List churches in Eluru.",churches,Eluru
"Show me places of worship in Eluru.",churches,Eluru
