query,intent,city
"Where can I find hospitals in Tadepalligudem?",hospitals,Tadepalligudem
"List hospitals in Tadepalligudem.",hospitals,Tadepalligudem
"Show me medical facilities in Tadepalligudem.",hospitals,Tadepalligudem
"Find healthcare centers in Tadepalligudem.",hospitals,Tadepalligudem
"Where are the hospitals in Tadpatri?",hospitals,Tadpatri
"List hospitals in Tadpatri.",hospitals,Tadpatri
"Show me medical facilities in Tadpatri.",hospitals,Tadpatri
"Find healthcare centers in Tadpatri.",hospitals,Tadpatri
"Where can I find hospitals in Tanuku?",hospitals,Tanuku
"List hospitals in Tanuku.",hospitals,Tanuku
"Show me medical facilities in Tanuku.",hospitals,Tanuku
"Find healthcare centers in Tanuku.",hospitals,Tanuku
"Where are the hospitals in Tenali?",hospitals,Tenali
"List hospitals in Tenali.",hospitals,Tenali
"Show me medical facilities in Tenali.",hospitals,Tenali
"Find healthcare centers in Tenali.",hospitals,Tenali
"Where can I find hospitals in Tirupati?",hospitals,Tirupati
"List hospitals in Tirupati.",hospitals,Tirupati
"Show me medical facilities in Tirupati.",hospitals,Tirupati
"Find healthcare centers in Tirupati.",hospitals,Tirupati
"Where are the hospitals in Uravakonda?",hospitals,Uravakonda
"List hospitals in Uravakonda.",hospitals,Uravakonda
"Show me medical facilities in Uravakonda.",hospitals,Uravakonda
"Find healthcare centers in Uravakonda.",hospitals,Uravakonda
"Where can I find hospitals in Vijayawada?",hospitals,Vijayawada
"List hospitals in Vijayawada.",hospitals,Vijayawada
"Show me medical facilities in Vijayawada.",hospitals,Vijayawada
"Find healthcare centers in Vijayawada.",hospitals,Vijayawada
"Where are the hospitals in Vinukonda?",hospitals,Vinukonda
"List hospitals in Vinukonda.",hospitals,Vinukonda
"Show me medical facilities in Vinukonda.",hospitals,Vinukonda
"Find healthcare centers in Vinukonda.",hospitals,Vinukonda
"Where can I find hospitals in Visakhapatnam?",hospitals,Visakhapatnam
"List hospitals in Visakhapatnam.",hospitals,Visakhapatnam
"Show me medical facilities in Visakhapatnam.",hospitals,Visakhapatnam
"Find healthcare centers in Visakhapatnam.",hospitals,Visakhapatnam
"Where are the hospitals in Vizianagaram?",hospitals,Vizianagaram
"List hospitals in Vizianagaram.",hospitals,Vizianagaram
"Show me medical facilities in Vizianagaram.",hospitals,Vizianagaram
"Find healthcare centers in Vizianagaram.",hospitals,Vizianagaram
"Where can I find hospitals in Kovvur?",hospitals,Kovvur
